id,name,description,keywords,url
A-1,鶏林 ～マジチキオオバヤシ～,私たちが焼きます！美味しい焼鳥を１つ１つ丁寧に心を込めて焼いています。１本でも10本でもお好きなメニューをすべて出来たてで提供いたします。ジューシーな味わいをぜひお楽しみ下さい。（イメージは大林先生です。）,屋台村,2-1:鶏林 ～マジチキオオバヤシ～:屋台村:１:10:すべて:イメージ:ジューシー:メニュー:丁寧:先生:出来たて:味わい:大林:心:提供:楽しみ:焼い:焼きます:焼鳥:私:込め,https://suishosai.netlify.com/events/A1.html
A-2,しげみうどん,つるっとしたのどごしのうどんにねぎ塩味のお肉をのせた特製うどん！！あなたも一度、ご賞味あれ！！限定メニューも...！？,2棟2階 3年2組教室,2-3:しげみうどん:2棟2階 3年2組教室:うどん:あなた:あれ:お肉:ご賞味:し:ねぎ:のせ:のどごし:メニュー:一度:塩味:特製:限定,https://suishosai.netlify.com/events/A2.html
A-3,やきそばうゑた屋,選べる5種類のトッピングで、様々な味を楽しむことができます。文化祭と言えば焼きそばというほどおなじみの食べ物ですが、麺と味付けにこだわり、絶対に皆さんを満足させてみせます！ぜひお越しください！！,屋台村,2-4:やきそばうゑた屋:屋台村:5:いう:おなじみ:お越し:こだわり:こと:でき:みせ:トッピング:味:味付け:文化:楽しむ:様々:満足:焼きそば:皆さん:言え:選べる:食べ物:麺,https://suishosai.netlify.com/events/A3.html
A-4,シャカぐちポテト,フライドポテト界の巨匠、我らが坂口監修のもとしゃかぐちポテトを開店します！！揚げたてホックホクのフライドポテトを好みに合わせて味付けできるようにしました。（マックのパクりではございません。）,屋台村,2-5:シャカぐちポテト:屋台村:ポテト:フライド:ぐち:ござい:し:しゃか:できる:もと:パクり:ホックホク:マック:合わせ:味付け:坂口:好み:巨匠:我ら:揚げたて:監修:開店,https://suishosai.netlify.com/events/A4.html
A-5,ステーキ丼だけ～,みんな大好きステーキ丼のここがポイント！　①焼きたてステーキに炊き立てのご飯　　　②厳選された究極のタレ―ガッツリ系からサッパリ系まで様々な味を楽しめます。     「このうまさ、どんだけ～～～」,2棟1階 3年4組教室,2-7:ステーキ丼だけ～:2棟1階 3年4組教室:ステーキ:系:ここ:ご飯:みんな:タレ:ポイント:厳選:味:楽し:様々:焼きたて:究極,https://suishosai.netlify.com/events/A5.html
A-6,いっちゃん総本店,本格的な広島のお好み焼きをお届けします！味に一番の自信アリ！翠翔祭グランプリを目指す我々の本気をご覧下さい！店名は、広島の名店みっちゃんと、２－９の担任である石澤先生のい″をかけて名付けました。,屋台村,2-9:いっちゃん総本店:屋台村:広島:い:お好み焼き:お届け:かけ:ご覧:みっちゃん:アリ:グランプリ:一:先生:名付け:名店:味:店名:我々:担任:本気:目指す:石澤:翠翔:自信:２:９,https://suishosai.netlify.com/events/A6.html
A-7,格子点の個数を求めなさい,サクサクでふわふわの食感がたまらない焼きたての香ばしいワッフルはいかがですか？横浜翠嵐高校理系のプライドにかけて、最高の格子点を提供します！,2棟1階 3年6組教室,3-7:格子点の個数を求めなさい:2棟1階 3年6組教室:いかが:かけ:ふわふわ:プライド:ワッフル:提供:最高:格子:横浜:点:焼きたて:理系:翠嵐高校:食感,https://suishosai.netlify.com/events/A7.html
B-1,SUIRAN BUCKS,緑のエプロン、甘いラテの香り、そうここは翠嵐バックス～sbux～　　　　　　　　横浜の喧騒に疲れ、一息つきたくなった、そんなあなたをsbuxは待っています。是非sbuxで至福のひと時をお過ごしください。,2棟3階 2年3組教室,1-1:SUIRAN BUCKS:2棟3階 2年3組教室:sbux:あなた:ここ:ひと時:エプロン:バックス:ラテ:一息つき:喧騒:待っ:横浜:疲れ:緑:翠嵐:至福:過ごし:香り,https://suishosai.netlify.com/events/B1.html
B-2,おじゃわ teaCHA,定番の味から人気の味まで、いろいろな種類のタピオカドリンクを揃えてお待ちしています！おいしいタピオカドリンクを、お手頃価格で飲むことができるチャンスです！ぜひ来てください！,2棟3階 2年2組教室,2-2:おじゃわ teaCHA:2棟3階 2年2組教室:タピオカ:ドリンク:味:いろいろ:こと:し:できる:チャンス:人気:価格:定番:待ち:揃え:来:種類:飲む,https://suishosai.netlify.com/events/B2.html
B-3,CATS,文化祭ではめったにお目にかかれない猫カフェ。普段行きたいけどお金が…、そんな人は是非来てください！もちろん地域最安値です。最高に冷えたクレープでインスタ映えも狙っちゃいましょう!!,2棟1階 3年6組教室,2-8:CATS:2棟1階 3年6組教室:お目にかか:お金:インスタ:カフェ:クレープ:人:冷え:地域:文化:普段:最安値:最高:来:狙っ:猫:行き,https://suishosai.netlify.com/events/B3.html
B-4,ブルゥ　スィール,沖縄発！あのブルーシールが翠嵐に登場！！キンキンに冷えた１０種類以上のアイスを用意しています。その時間帯しか食べられない限定の味もあるかも！？このチャンスを見逃すな！！,2棟3階 2年4組教室,3-2:ブルゥ　スィール:2棟3階 2年4組教室:ある:アイス:チャンス:ブルーシール:冷え:味:帯:時間:沖縄:用意:登場:翠嵐:見逃す:限定:食べ:１０,https://suishosai.netlify.com/events/B4.html
B-5,Me too eat CHURROS,チュロスの本場・鎌倉の超人気店「KAMAKURA CHURROUS」の味をそのまま楽しめます！内装にもこだわったので是非みにきてください。,2棟2階 3年1組教室,3-4:Me too eat CHURROS:2棟2階 3年1組教室:CHURROUS:KAMAKURA:き:こだわっ:み:チュロス:人気店:内装:味:本場:楽し:鎌倉,https://suishosai.netlify.com/events/B5.html
B-6,ポップコーンモンスター,塩味・キャラメル味・醤油バター味・カレー味の４種類のポップコーンを販売します。かわいい店内でセサミストリートのキャラクターたちと写真をとれるコーナーもあります。ぜひお立ち寄り下さい！,2棟1階 3年5組教室,3-5:ポップコーンモンスター:2棟1階 3年5組教室:味:あり:お立ち寄り:と:カレー:キャラクター:キャラメル:コーナー:ストリート:セサミ:バター:ポップコーン:写真:塩味:店内:販売:醤油:４,https://suishosai.netlify.com/events/B6.html
B-7,茶道部,茶道部員が心を込めてお抹茶を点てます。美味しいお抹茶と季節に合ったお菓子で、ちょっと一息しませんか？,2棟3階 3年3組教室,茶道部:茶道部:2棟3階 3年3組教室:抹茶:お菓子:し:一息:合っ:季節:心:点て:茶道:込め:部員,https://suishosai.netlify.com/events/B7.html
B-8,翠嵐万十博物館,生物部では、今年も翠嵐まんじゅうを販売します！それに加えて飼育生物の展示や生物室に収蔵している標本も公開します！体験や実演も行いますので是非生物室にいらして下さい！待ってます！！,3棟1階 生物室,生物部:翠嵐万十博物館:3棟1階 生物室:生物:い:それ:まんじゅう:今年:体験:公開:加え:収蔵:実演:展示:待っ:標本:翠嵐:行い:販売:飼育,https://suishosai.netlify.com/events/B8.html
C-1,Art club,作品展示、アクセサリーやストラップの販売に加えて、毎年大好評のUVレジン体験も行います！あなたも自分だけのストラップを作ってみませんか？初心者でも大歓迎です！ぜひお越しください！,2棟1階 翠翔みらい館A,美術部:Art club:2棟1階 翠翔みらい館A:ストラップ:UV:あなた:お越し:アクセサリー:レジン:体験:作っ:作品:初心者:加え:大歓迎:展示:自分:行い:販売,https://suishosai.netlify.com/events/C1.html
C-2,【新コーナー】 シメキリリッリ,何気ない締切が漫研部員を傷つけた。一体何が始まるんです？ああ、ごめん。ヘルシェイク矢野のこと考えてた（訳：漫画研究部では部誌の無料配布、原稿展示、ラミカの販売をしています！お絵描きコーナーもあります）,2棟1階 翠翔みらい館A,漫画研究部:【新コーナー】 シメキリリッリ:2棟1階 翠翔みらい館A:あり:こと:ごめん:し:コーナー:シェイク:ヘル:ラミカ:一体:何:傷つけ:原稿:始まる:展示:漫画:漫研:無料:矢野:研究:絵描き:締切:考え:訳:誌:販売:部:部員:配布,https://suishosai.netlify.com/events/C2.html
E-1,CANDY  A☆GO☆RO！,１－３です！今回の翠翔祭では、ミニゲームとお菓子の詰め合わせのお店を企画・運営します！小さいお子様から大人の方まで楽しめるよう、雰囲気作りにも力を入れているのでぜひおこし下さい！,2棟4階 1年5組教室,1-3:CANDY  A☆GO☆RO！:2棟4階 1年5組教室:おこし:お子様:お店:お菓子:ゲーム:今回:企画:入れ:力:大人:方:楽し:翠翔:詰め合わせ:運営:雰囲気:１:３,https://suishosai.netlify.com/events/E1.html
E-3,吉吉神社,昔々、横浜の高台に２人の神様がいました。名を吉水神、吉川神といいます。そして、人々は学力の向上を祈願して、学力の神様である２人を祀ることにしたのでした．．．(ただの縁日です),2棟2階 2年9組教室,1-6:吉吉神社:2棟2階 2年9組教室:学力:神様:２:い:いい:こと:し:ただ:人々:吉:吉川:名:向上:昔々:横浜:水神:祀る:祈願:神:縁日:高台,https://suishosai.netlify.com/events/E3.html
